file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Supervisor.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor,getMacroRegion/0,false,80,1,3,4,5,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Supervisor.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor,getRegionName/0,false,38,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Supervisor.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor,getCitiesInRegionNames/0,false,73,0,2,3,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Supervisor.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor,"create/4[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region]",false,28,4,1,4,8,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,8,10,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Supervisor.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor,getRegionId/0,false,45,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesLeafInspection.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesLeafInspection,AsiaticRustTypesLeafInspection/1[java.lang.String],true,12,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesLeafInspection.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesLeafInspection,getDescription/0,false,16,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesLeafInspection.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesLeafInspection,setDescription/1[java.lang.String],false,20,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesSporeCollector.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesSporeCollector,getDescription/0,false,16,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesSporeCollector.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesSporeCollector,AsiaticRustTypesSporeCollector/1[java.lang.String],true,12,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesSporeCollector.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesSporeCollector,setDescription/1[java.lang.String],false,20,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsibleEntity.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsibleEntity,getIdAsString/0,false,46,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsibleEntity.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsibleEntity,getCityId/0,false,39,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsibleEntity.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsibleEntity,getCityName/0,false,32,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsibleEntity.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsibleEntity,"create/3[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City]",false,23,4,1,3,7,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,10,10,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsiblePerson.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsiblePerson,getEntityCityId/0,false,52,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsiblePerson.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsiblePerson,getEntityName/0,false,31,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsiblePerson.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsiblePerson,getEntityCityName/0,false,45,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsiblePerson.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsiblePerson,"create/3[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsibleEntity]",false,22,4,1,3,7,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,10,10,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsiblePerson.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsiblePerson,getEntityId/0,false,38,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\MIDRustSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.MIDRustSample,"create/3[java.lang.Long,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey,java.util.Date]",false,51,3,1,3,7,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,13,9,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\GrowthPhase.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,getDescription/0,false,62,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\GrowthPhase.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,setDescription/1[java.lang.String],false,66,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\GrowthPhase.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,GrowthPhase/1[java.lang.String],true,58,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSample,getOccurrenceByPest/1[br.edu.utfpr.cp.emater.midmipsystem.entity.mip.Pest],false,193,2,2,7,6,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,7,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSample,"addPestDiseaseOccurrence/2[br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestDisease,double]",false,89,1,2,7,6,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSample,getDAEAndPestOccurrenceByPest/1[br.edu.utfpr.cp.emater.midmipsystem.entity.mip.Pest],false,269,3,3,11,10,3,1,1,0,1,0,0,0,0,1,0,1,0,0,0,12,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSample,"addPestNaturalPredatorOccurrence/2[br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestNaturalPredator,double]",false,98,1,2,7,6,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,8,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSample,getHarvestId/0,false,115,0,3,5,9,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,1,0
